"Agency","Route","Direction","Service Key","Language","Stop ID","Stop Name","Sequence"
"Amtrak Cascades","1","North","Weekday",,"EUG",,"10"
"Amtrak Cascades","1","North","Saturday",,"EUG",,"10"
"Amtrak Cascades","1","North","Sunday",,"EUG",,"10"
"Island Transit","1","North","Weekday",,"RT6ST26B",,"10"
"Island Transit","1","North","Saturday",,"RT6ST26B",,"10"
"Island Transit","1","North","Sunday",,"RT6ST26B",,"10"
"Island Transit","1","North","Weekday",,"RT6ST28B",,"30"
"Island Transit","1","North","Saturday",,"RT6ST28B",,"30"
"Island Transit","1","North","Sunday",,"RT6ST28B",,"30"
"Amtrak Cascades","1","North","Weekday",,"PDX",,"50"
"Amtrak Cascades","1","North","Saturday",,"PDX",,"50"
"Amtrak Cascades","1","North","Sunday",,"PDX",,"50"
"Island Transit","1","North","Weekday",,"RT6ST32B",,"60"
"Island Transit","1","North","Saturday",,"RT6ST32B",,"60"
"Island Transit","1","North","Sunday",,"RT6ST32B",,"60"
"Island Transit","1","North","Weekday",,"RT6ST36B",,"70"
"Island Transit","1","North","Saturday",,"RT6ST36B",,"70"
"Island Transit","1","North","Sunday",,"RT6ST36B",,"70"
"Amtrak Cascades","1","North","Weekday",,"SEA",,"110"
"Amtrak Cascades","1","North","Saturday",,"SEA",,"110"
"Amtrak Cascades","1","North","Sunday",,"SEA",,"110"
"Amtrak Cascades","1","South","Weekday",,"SEA",,"10"
"Amtrak Cascades","1","South","Saturday",,"SEA",,"10"
"Amtrak Cascades","1","South","Sunday",,"SEA",,"10"
"Island Transit","1","South","Weekday",,"RT6ST0",,"10"
"Island Transit","1","South","Saturday",,"RT6ST0",,"10"
"Island Transit","1","South","Sunday",,"RT6ST0",,"10"
"Island Transit","1","South","Weekday",,"RT6ST1A",,"20"
"Island Transit","1","South","Saturday",,"RT6ST1A",,"20"
"Island Transit","1","South","Sunday",,"RT6ST1A",,"20"
"Island Transit","1","South","Weekday",,"RT6ST2A",,"30"
"Island Transit","1","South","Saturday",,"RT6ST2A",,"30"
