trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
501,07:30:00,07:30:00,SEA,1,0,1
501,07:45:00,07:45:00,TUK,2,0,0
501,08:15:00,08:15:00,TAC,3,0,0
501,08:54:00,08:54:00,OLW,4,0,0
501,09:16:00,09:16:00,CTL,5,0,0
501,09:54:00,09:54:00,KEL,6,0,0
501,10:29:00,10:29:00,VAN,7,0,0
501,11:00:00,11:00:00,PDX,8,1,0
5501,11:15:00,11:15:00,PDX,1,0,1
5501,12:15:00,12:15:00,SLM,2,0,0
5501,12:55:00,12:55:00,ALY,3,0,0
5501,13:40:00,13:40:00,EUG,4,1,0
8911,05:30:00,05:30:00,VAC,1,0,1
8911,05:50:00,05:50:00,RBC,2,0,1
8911,06:20:00,06:20:00,SUY,3,0,1
8911,09:15:00,09:15:00,SEA,4,1,0
11,09:45:00,09:45:00,SEA,1,0,1
11,10:31:00,10:31:00,TAC,2,0,0
11,11:21:00,11:21:00,OLW,3,0,0
11,11:45:00,11:45:00,CTL,4,0,0
11,12:29:00,12:29:00,KEL,5,0,0
11,13:08:00,13:08:00,VAN,6,0,0
11,13:50:00,13:50:00,PDX,7,1,0
11,14:25:00,14:25:00,PDX,8,0,1
11,15:37:00,15:37:00,SLM,9,0,0
11,16:10:00,16:10:00,ALY,10,0,0
11,17:03:00,17:03:00,EUG,11,0,0
513,08:35:00,08:35:00,BEL,1,0,1
513,09:04:00,09:04:00,MVW,2,0,0
513,09:55:00,09:55:00,EVR,3,0,0
513,10:21:00,10:21:00,EDM,4,0,0
513,10:55:00,11:20:00,SEA,5,0,0
513,11:35:00,11:35:00,TUK,6,0,0
513,12:05:00,12:05:00,TAC,7,0,0
513,12:44:00,12:44:00,OLW,8,0,0
513,13:03:00,13:03:00,CTL,9,0,0
513,13:44:00,13:44:00,KEL,10,0,0
513,14:19:00,14:19:00,VAN,11,0,0
513,15:00:00,15:00:00,PDX,12,1,0
8907,08:00:00,08:00:00,VAC,1,0,1
8907,08:30:00,08:30:00,RBC,2,0,1
8907,09:00:00,09:00:00,SUY,3,0,1
8907,12:30:00,12:30:00,SEA,4,1,0
507,14:20:00,14:20:00,SEA,1,0,1
507,14:35:00,14:35:00,TUK,2,0,0
507,15:05:00,15:05:00,TAC,3,0,0
507,15:44:00,15:44:00,OLW,4,0,0
507,16:03:00,16:03:00,CTL,5,0,0
507,16:44:00,16:44:00,KEL,6,0,0
507,17:19:00,17:19:00,VAN,7,0,0
