trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1443,06:45:00,06:45:00,780780,1,0,1
1443,07:30:00,07:40:00,780879,2,0,0
1443,08:20:00,08:30:00,780604,3,0,0
1443,09:05:00,09:05:00,780142,4,0,0
1443,10:00:00,10:00:00,780440,5,0,0
1443,10:50:00,10:50:00,780923,6,0,0
1443,11:10:00,11:10:00,790845,7,1,0
6577,11:15:00,11:15:00,780780,1,0,1
6577,12:00:00,12:05:00,780879,2,0,0
6577,12:45:00,12:55:00,780604,3,0,0
6577,14:55:00,14:55:00,790845,4,1,0
1431,13:30:00,13:30:00,780780,1,0,1
1431,14:15:00,14:20:00,780879,2,0,0
1431,15:00:00,15:05:00,780604,3,0,0
1431,15:40:00,15:40:00,780142,4,0,0
1431,16:30:00,16:30:00,780440,5,0,0
1431,17:20:00,17:20:00,780923,6,0,0
1431,17:45:00,17:45:00,790845,7,0,1
6507,14:30:00,14:30:00,780780,1,0,1
6507,17:50:00,17:50:00,790845,2,1,0
1423,17:00:00,17:00:00,780780,1,0,1
1423,17:45:00,17:55:00,780879,2,0,0
1423,18:35:00,18:45:00,780604,3,0,0
1423,19:20:00,19:20:00,780142,4,0,0
1423,20:15:00,20:15:00,780440,5,0,0
1423,21:05:00,21:05:00,780923,6,0,0
1423,21:25:00,21:25:00,790845,7,1,0
6505,18:00:00,18:00:00,780780,1,0,1
6505,21:15:00,21:15:00,790845,2,1,0
1429,20:10:00,20:10:00,780780,1,0,1
1429,20:55:00,21:00:00,780879,2,0,0
1429,21:40:00,21:45:00,780604,3,0,0
1429,23:45:00,23:45:00,790845,4,1,0
6547,06:15:00,06:15:00,999999,1,0,1
6547,06:40:00,06:40:00,999991,2,0,1
6547,08:15:00,08:20:00,780043,3,0,0
6547,08:50:00,08:55:00,780560,4,0,0
6547,09:35:00,09:40:00,780318,5,0,0
6547,10:20:00,10:20:00,780780,6,1,0
6501,08:45:00,08:45:00,999999,1,0,1
6501,10:35:00,10:40:00,780043,2,0,0
6501,12:20:00,12:20:00,780780,3,1,0
6503,11:20:00,11:20:00,999999,1,0,1
6503,11:45:00,11:45:00,999991,2,0,1
6503,13:20:00,13:25:00,780043,3,0,0
6503,13:55:00,14:05:00,780560,4,0,0
6503,14:45:00,14:50:00,780318,5,0,0
6503,15:30:00,15:30:00,780780,6,1,0
6579,14:45:00,14:45:00,999999,1,0,1
6579,15:10:00,15:10:00,999991,2,0,1
6579,16:45:00,16:55:00,780043,3,0,0
6579,17:25:00,17:30:00,780560,4,0,0
6579,18:10:00,18:15:00,780318,5,0,0
6579,18:55:00,18:55:00,780780,6,1,0
6599,18:55:00,18:55:00,999999,1,0,1
6599,21:45:00,21:50:00,780043,2,0,0
6599,22:20:00,22:25:00,780560,3,0,0
6599,23:05:00,23:10:00,780318,4,0,0
6599,23:50:00,23:50:00,780780,5,1,0
6502,07:45:00,07:45:00,780780,1,0,1
6502,08:25:00,08:30:00,780318,2,0,0
6502,09:10:00,09:15:00,780560,3,0,0
6502,09:45:00,09:55:00,780043,4,0,0
6502,11:30:00,11:30:00,999991,5,1,0
6502,11:55:00,11:55:00,999999,6,1,0
6516,12:30:00,12:30:00,780780,1,0,1
6516,14:10:00,14:20:00,780043,2,0,0
6516,16:10:00,16:10:00,999999,3,1,0
6518,15:15:00,15:15:00,780780,1,0,1
6518,15:55:00,16:00:00,780318,2,0,0
6518,16:40:00,16:45:00,780560,3,0,0
6518,17:15:00,17:25:00,780043,4,0,0
6518,18:55:00,18:55:00,999991,5,1,0
6518,19:20:00,19:20:00,999999,6,1,0
6522,18:25:00,18:25:00,780780,1,0,1
6522,19:05:00,19:10:00,780318,2,0,0
6522,19:50:00,19:55:00,780560,3,0,0
6522,20:25:00,20:35:00,780043,4,0,0
6522,22:10:00,22:10:00,999991,5,1,0
6522,22:35:00,22:35:00,999999,6,1,0
6524,22:20:00,22:20:00,780780,1,0,1
6524,23:00:00,23:05:00,780318,2,0,0
6524,23:45:00,23:50:00,780560,3,0,0
6524,24:20:00,24:25:00,780043,4,0,0
6524,26:15:00,26:15:00,999999,5,1,0
1440,10:15:00,10:15:00,790845,1,0,1
1440,10:35:00,10:35:00,780923,2,0,0
1440,11:25:00,11:25:00,780440,3,0,0
1440,12:15:00,12:15:00,780142,4,0,0
1440,12:50:00,12:55:00,780604,5,0,0
1440,13:35:00,13:45:00,780879,6,0,0
1440,14:30:00,14:30:00,780780,7,1,0
6540,13:45:00,13:45:00,790845,1,0,1
6540,17:00:00,17:00:00,780780,2,1,0
1420,13:45:00,13:45:00,790845,1,0,1
1420,14:05:00,14:05:00,780923,2,0,0
1420,15:35:00,15:35:00,780142,3,0,0
1420,16:10:00,16:15:00,780604,4,0,0
1420,16:55:00,17:05:00,780879,5,0,0
1420,17:50:00,17:50:00,780780,6,1,0
1430,17:15:00,17:15:00,790845,1,0,1
1430,17:45:00,17:45:00,780923,2,0,0
1430,18:35:00,18:35:00,780440,3,0,0
1430,19:25:00,19:25:00,780142,4,0,0
1430,20:00:00,20:10:00,780604,5,0,0
1430,20:50:00,21:00:00,780879,6,0,0
1430,21:45:00,21:45:00,780780,7,1,0
6542,19:00:00,19:00:00,790845,1,0,1
6542,21:00:00,21:05:00,780604,2,0,0
6542,21:45:00,21:55:00,780879,3,0,0
6542,22:40:00,22:40:00,780780,4,1,0
1446,21:00:00,21:00:00,790845,1,0,1
1446,21:20:00,21:20:00,780923,2,0,0
1446,23:00:00,23:05:00,780604,3,0,0
1446,23:40:00,23:50:00,780879,4,0,0
1446,24:35:00,24:35:00,780780,5,1,0
1277,24:30:00,24:30:00,780835,1,0,1
1277,24:55:00,24:55:00,780175,2,0,0
1277,26:40:00,27:00:00,780550,3,0,0
1277,28:15:00,28:25:00,780285,4,0,0
1277,30:25:00,30:25:00,780780,5,1,0
1275,11:55:00,11:55:00,780835,1,1,0
1275,12:20:00,12:20:00,780175,2,0,0
