route_id,service_id,trip_id,trip_headsign,block_id
3,d,1443,,0
2,d,6547,,0
3,d,6577,,0
3,d,1431,,0
2,d,6501,,0
2,d,6503,,0
3,d,1423,,0
3,57,6505,,0
3,57,6507,,0
2,d,6579,,0
3,d,1429,,0
2,d,6599,,0
2,d,6502,,1
3,d,1436,,1
2,d,6516,,1
3,d,1440,,1
2,d,6518,,1
3,57,6540,,1
2,d,1420,,1
3,d,6522,,1
3,d,1430,,1
3,57,6542,,1
3,d,6524,,1
2,d,1446,,1
5,d,1277,,1
1,d,5549,,1
5,d,1275,,1
1,d,1343,,1
1,d,5591,,1
1,d,1318,,0
5,d,1274,,0
5,d,5592,,0
1,d,5594,,0
5,d,1276,,0
4,d,5547,,1
4,d,5548,,0
