trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
6_1k,06:35:00,06:35:00,RT6ST18A,1,0,1
6_1k,,,RT6ST19A,2,0,0
6_1k,,,RT6ST20A,3,0,0
6_1k,,,RT6ST21A,4,0,0
6_1k,06:41:00,06:41:00,RT6ST22A,5,0,0
6_1k,,,RT6ST23A,6,0,0
6_1k,,,RT6ST24B,7,0,0
6_1k,06:48:00,06:48:00,RT6ST25B,8,0,0
6_1,06:50:00,06:50:00,RT6ST26B,1,0,0
6_1,06:58:00,06:58:00,RT6ST27B,2,0,0
6_1,07:00:00,07:00:00,RT6ST28B,3,0,0
6_1,07:05:00,07:05:00,RT6ST29B,4,0,0
6_1,,,RT6ST30B,5,0,0
6_1,,,RT6ST31B,6,0,0
6_1,,,RT6ST32B,7,0,0
6_1,,,RT6ST33B,8,0,0
6_1,07:08:00,07:08:00,RT6ST34B,9,0,0
6_1,,,RT6ST35B,10,0,0
6_1,07:13:00,07:13:00,RT6ST36B,11,1,0
6_2,06:50:00,06:50:00,RT6ST0,1,0,1
6_2,06:51:00,06:51:00,RT6ST1A,2,0,0
6_2,06:52:00,06:52:00,RT6ST2A,3,0,0
6_2,06:53:00,06:53:00,RT6ST3A,4,0,0
6_2,,,RT6ST4A,5,0,0
6_2,,,RT6ST5A,6,0,0
6_2,06:58:00,06:58:00,RT6ST6A,7,0,0
6_2,,,RT6ST7A,8,0,0
6_2,,,RT6ST8A,9,0,0
6_2,,,RT6ST9A,10,0,0
6_2,,,RT6ST10A,11,0,0
6_2,07:03:00,07:03:00,RT6ST11A,12,0,0
6_2,,,RT6ST12A,13,0,0
6_2,,,RT6ST13A,14,0,0
6_2,,,RT6ST14A,15,0,0
6_3k,07:15:00,07:15:00,RT6ST26B,1,0,0
6_3k,,,RT6ST15A,2,0,0
6_3k,,,RT6ST16A,3,0,0
6_3k,07:30:00,07:30:00,RT6ST17A,4,0,0
6_3k,07:35:00,07:35:00,RT6ST18A,5,0,0
6_3k,,,RT6ST19A,6,0,0
6_3k,,,RT6ST20A,7,0,0
6_3k,,,RT6ST21A,8,0,0
6_3k,07:41:00,07:41:00,RT6ST22A,9,0,0
6_3k,,,RT6ST23A,10,0,0
6_3k,,,RT6ST24B,11,0,0
6_3k,07:48:00,07:48:00,RT6ST25B,12,0,0
6_3,08:00:00,08:00:00,RT6ST26B,1,0,0
6_3,,,RT6ST27B,2,0,0
6_3,08:08:00,08:08:00,RT6ST28B,3,0,0
6_3,,,RT6ST29B,4,0,0
6_3,,,RT6ST30B,5,0,0
6_3,,,RT6ST31B,6,0,0
6_3,08:15:00,08:15:00,RT6ST32B,7,0,0
6_3,,,RT6ST33B,8,0,0
6_3,,,RT6ST34B,9,0,0
6_3,,,RT6ST35B,10,0,0
6_3,08:35:00,08:35:00,RT6ST36B,11,1,0
6_4,07:50:00,07:50:00,RT6ST0,1,0,1
6_4,07:51:00,07:51:00,RT6ST1A,2,0,0
6_4,07:52:00,07:52:00,RT6ST2A,3,0,0
6_4,07:53:00,07:53:00,RT6ST3A,4,0,0
6_4,,,RT6ST4A,5,0,0
6_4,,,RT6ST5A,6,0,0
6_4,07:58:00,07:58:00,RT6ST6A,7,0,0
6_4,,,RT6ST7A,8,0,0
6_4,,,RT6ST8A,9,0,0
6_4,,,RT6ST9A,10,0,0
6_4,,,RT6ST10A,11,0,0
6_4,08:03:00,08:03:00,RT6ST11A,12,0,0
6_4,,,RT6ST12A,13,0,0
6_4,,,RT6ST13A,14,0,0
6_4,,,RT6ST14A,15,0,0
6_5k,08:15:00,08:15:00,RT6ST26B,1,0,0
6_5k,,,RT6ST15A,2,0,0
6_5k,,,RT6ST16A,3,0,0
6_5k,08:30:00,08:30:00,RT6ST17A,4,0,0
6_5k,08:35:00,08:35:00,RT6ST18A,5,0,0
6_5k,,,RT6ST19A,6,0,0
6_5k,,,RT6ST20A,7,0,0
6_5k,,,RT6ST21A,8,0,0
6_5k,08:41:00,08:41:00,RT6ST22A,9,0,0
6_5k,,,RT6ST23A,10,0,0
6_5k,,,RT6ST24B,11,0,0
6_5k,08:48:00,08:48:00,RT6ST25B,12,0,0
6_5,09:00:00,09:00:00,RT6ST26B,1,0,0
6_5,,,RT6ST27B,2,0,0
6_5,09:08:00,09:08:00,RT6ST28B,3,0,0
6_5,,,RT6ST29B,4,0,0
6_5,,,RT6ST30B,5,0,0
6_5,,,RT6ST31B,6,0,0
6_5,09:15:00,09:15:00,RT6ST32B,7,0,0
6_5,,,RT6ST33B,8,0,0
6_5,,,RT6ST34B,9,0,0
6_5,,,RT6ST35B,10,0,0
6_5,09:35:00,09:35:00,RT6ST36B,11,1,0
6_6,08:50:00,08:50:00,RT6ST0,1,0,1
6_6,08:51:00,08:51:00,RT6ST1A,2,0,0
6_6,08:52:00,08:52:00,RT6ST2A,3,0,0
6_6,08:53:00,08:53:00,RT6ST3A,4,0,0
6_6,,,RT6ST4A,5,0,0
6_6,,,RT6ST5A,6,0,0
6_6,08:58:00,08:58:00,RT6ST6A,7,0,0
6_6,,,RT6ST7A,8,0,0
6_6,,,RT6ST8A,9,0,0
6_6,,,RT6ST9A,10,0,0
6_6,,,RT6ST10A,11,0,0
6_6,09:03:00,09:03:00,RT6ST11A,12,0,0
6_6,,,RT6ST12A,13,0,0
6_6,,,RT6ST13A,14,0,0
6_6,,,RT6ST14A,15,0,0
6_7k,09:15:00,09:15:00,RT6ST26B,1,0,0
6_7k,,,RT6ST15A,2,0,0
6_7k,,,RT6ST16A,3,0,0
6_7k,09:30:00,09:30:00,RT6ST17A,4,0,0
6_7k,09:35:00,09:35:00,RT6ST18A,5,0,0
6_7k,,,RT6ST19A,6,0,0
6_7k,,,RT6ST20A,7,0,0
6_7k,,,RT6ST21A,8,0,0
6_7k,09:41:00,09:41:00,RT6ST22A,9,0,0
6_7k,,,RT6ST23A,10,0,0
6_7k,,,RT6ST24B,11,0,0
6_7k,09:48:00,09:48:00,RT6ST25B,12,0,0
6_7,10:00:00,10:00:00,RT6ST26B,1,0,0
6_7,,,RT6ST27B,2,0,0
6_7,10:08:00,10:08:00,RT6ST28B,3,0,0
6_7,,,RT6ST29B,4,0,0
6_7,,,RT6ST30B,5,0,0
6_7,,,RT6ST31B,6,0,0
6_7,10:15:00,10:15:00,RT6ST32B,7,0,0
6_7,,,RT6ST33B,8,0,0
6_7,,,RT6ST34B,9,0,0
6_7,,,RT6ST35B,10,0,0
6_7,10:35:00,10:35:00,RT6ST36B,11,1,0
6_8,09:50:00,09:50:00,RT6ST0,1,0,1
6_8,09:51:00,09:51:00,RT6ST1A,2,0,0
6_8,09:52:00,09:52:00,RT6ST2A,3,0,0
6_8,09:53:00,09:53:00,RT6ST3A,4,0,0
6_8,,,RT6ST4A,5,0,0
