trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1,04:00:00,04:00:00,NAS,1,2,2
1,04:10:00,04:10:00,HAR,2,2,2
1,04:15:00,04:15:00,OAK,3,2,2
1,04:30:00,04:30:00,COU,4,2,2
1,04:45:00,04:45:00,GRE,5,2,2
1,04:55:00,04:55:00,FRE,6,2,2
1,05:05:00,05:05:00,BAY,7,2,2
1,05:10:00,05:10:00,LAN,8,2,2
1,06:30:00,06:30:00,SEA,9,2,2
3,06:00:00,06:00:00,NAS,1,2,2
3,06:10:00,06:10:00,HAR,2,2,2
3,06:15:00,06:15:00,OAK,3,2,2
3,06:30:00,06:30:00,COU,4,2,2
3,06:45:00,06:45:00,GRE,5,2,2
3,06:55:00,06:55:00,FRE,6,2,2
3,07:05:00,07:05:00,BAY,7,2,2
3,07:10:00,07:10:00,LAN,8,2,2
3,08:30:00,08:30:00,SEA,9,2,2
5,08:00:00,08:00:00,NAS,1,2,2
5,08:10:00,08:10:00,HAR,2,2,2
5,08:15:00,08:15:00,OAK,3,2,2
5,08:30:00,08:30:00,COU,4,2,2
5,08:45:00,08:45:00,GRE,5,2,2
5,08:55:00,08:55:00,FRE,6,2,2
5,09:05:00,09:05:00,BAY,7,2,2
5,09:10:00,09:10:00,LAN,8,2,2
5,10:30:00,10:30:00,SEA,9,2,2
7,11:00:00,11:00:00,NAS,1,2,2
7,11:10:00,11:10:00,HAR,2,2,2
7,11:15:00,11:15:00,OAK,3,2,2
7,11:30:00,11:30:00,COU,4,2,2
7,11:45:00,11:45:00,GRE,5,2,2
7,11:55:00,11:55:00,FRE,6,2,2
7,12:05:00,12:05:00,BAY,7,2,2
7,12:10:00,12:10:00,LAN,8,2,2
7,13:30:00,13:30:00,SEA,9,2,2
9,14:00:00,14:00:00,NAS,1,2,2
9,14:10:00,14:10:00,HAR,2,2,2
9,14:15:00,14:15:00,OAK,3,2,2
9,14:30:00,14:30:00,COU,4,2,2
9,14:45:00,14:45:00,GRE,5,2,2
9,14:55:00,14:55:00,FRE,6,2,2
9,15:05:00,15:05:00,BAY,7,2,2
9,15:10:00,15:10:00,LAN,8,2,2
9,16:30:00,16:30:00,SEA,9,2,2
11,17:00:00,17:00:00,NAS,1,2,2
11,17:10:00,17:10:00,HAR,2,2,2
11,17:15:00,17:15:00,OAK,3,2,2
11,17:30:00,17:30:00,COU,4,2,2
11,17:45:00,17:45:00,GRE,5,2,2
11,17:55:00,17:55:00,FRE,6,2,2
11,18:05:00,18:05:00,BAY,7,2,2
11,18:10:00,18:10:00,LAN,8,2,2
11,19:30:00,19:30:00,SEA,9,2,2
13,19:00:00,19:00:00,NAS,1,2,2
13,19:10:00,19:10:00,HAR,2,2,2
13,19:15:00,19:15:00,OAK,3,2,2
13,19:30:00,19:30:00,COU,4,2,2
13,19:45:00,19:45:00,GRE,5,2,2
13,19:55:00,19:55:00,FRE,6,2,2
13,20:05:00,20:05:00,BAY,7,2,2
13,20:10:00,20:10:00,LAN,8,2,2
13,21:30:00,21:30:00,SEA,9,2,2
2,08:15:00,08:15:00,SEA,1,2,2
2,09:50:00,09:50:00,LAN,2,2,2
2,09:55:00,09:55:00,BAY,3,2,2
2,10:05:00,10:05:00,FRE,4,2,2
2,10:15:00,10:15:00,GRE,5,2,2
2,10:30:00,10:30:00,COU,6,2,2
2,10:45:00,10:45:00,OAK,7,2,2
2,10:50:00,10:50:00,HAR,8,2,2
2,11:00:00,11:00:00,NAS,9,2,2
4,10:45:00,10:45:00,SEA,1,2,2
4,12:20:00,12:20:00,LAN,2,2,2
4,12:25:00,12:25:00,BAY,3,2,2
4,12:35:00,12:35:00,FRE,4,2,2
4,12:45:00,12:45:00,GRE,5,2,2
4,13:00:00,13:00:00,COU,6,2,2
4,13:15:00,13:15:00,OAK,7,2,2
4,13:20:00,13:20:00,HAR,8,2,2
4,13:30:00,13:30:00,NAS,9,2,2
6,12:45:00,12:45:00,SEA,1,2,2
6,14:20:00,14:20:00,LAN,2,2,2
6,14:25:00,14:25:00,BAY,3,2,2
6,14:35:00,14:35:00,FRE,4,2,2
6,14:45:00,14:45:00,GRE,5,2,2
6,15:00:00,15:00:00,COU,6,2,2
6,15:15:00,15:15:00,OAK,7,2,2
6,15:20:00,15:20:00,HAR,8,2,2
6,15:30:00,15:30:00,NAS,9,2,2
8,15:45:00,15:45:00,SEA,1,2,2
8,17:20:00,17:20:00,LAN,2,2,2
8,17:25:00,17:25:00,BAY,3,2,2
8,17:35:00,17:35:00,FRE,4,2,2
