"Agency","Route","Direction","Service Key","Language","Original StopID / PlaceID","Printed Stop ID","Printed Name / Description"
"","4","Inbound","*","","42","42","Alaska & Chautauqua"
"","4","Outbound","*","","43","43","Alaska & Chautauqua"
"","4","Outbound","*","","3507","3507","Lombard Transit Center"
"","6","*","*","","1114","1114","Goose Hollow/SW Jefferson & 18th"
"","6","Outbound","*","","2175","2175","Grand & Holladay"
"","8","Inbound","*","","12781","12781","SW 3rd & Oak"
"","8","Inbound","*","","12781","12781","SW 3rd & Oak"
"","9","Inbound","*","","629","629","Lloyd Center Broadway & 12th"
"","9","Outbound","*","","7190","7190","24th & Fremont"
"","9","Outbound","*","","8216","8216","Lloyd Center Weidler & 12th"
"","9","Outbound","*","","9813","9813","NW Hoyt & Broadway/Union Station"
"","9","Outbound","*","","12774","12774","SW 4th & Oak"
"","9","Inbound","*","","12780","12780","SW 3rd & Pine"
"","9","Inbound","*","","12805","12805","NW Broadway & Hoyt"
"","12","Outbound","*","","191","191","Barbur & Bertha"
"","12","Inbound","*","","193","193","Barbur & Bertha"
"","12","Outbound","*","","8644","8644","King City Hwy 99 & Durham Rd"
"","12","Inbound","*","","8792","8792","King City Hwy 99 & Durham Rd"
"","14","Inbound","*","","2626","2626","Hawthorne & 39th"
"","14","Inbound","*","","3641","3641","Madison & 7th"
"","16","Inbound","*","","8875","8875","Front & Kittridge"
"","16","Inbound","*","","9477","9477","Middlefield & Vancouver"
"","16","Outbound","*","","9477","9477","Middlefield & Vancouver"
"","16","Outbound","*","","9875","9875","Naito Pkway & 9th"
"","16","Inbound","*","","9890","9890","Naito Pkway & 9th"
"","18","*","*","","755","755","W Burnside & 23rd, West"
"","18","*","*","","5020","5020","SW Salmon & 5th"
"","18","*","*","","6911","6911","SW 18th & Morrison, South"
"","18","*","*","","9122","9122","SW 18th & Morrison, North"
"","19","Inbound","*","","5055","5055","East Burnside & 12th"
"","19","Outbound","*","","9518","9518","East Burnside & 12th"
"","19","*","*","","10860","10860","Gateway Transit Center"
