"Agency","Route","Direction","Service Key","Language","Footnote (FN)","FN Sequence"
"","1","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>N (North-Fish)</b> stops on 6th Avenue.","50"
"","4","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>Z</b> stops on 4th Avenue.","50"
"","8","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>Y</b> stops on 4th Avenue.","50"
"","9","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>Y</b> stops on 4th Avenue.","50"
"","10","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>Y</b> stops on 4th Avenue.","50"
"","12","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>C</b> stops on 3rd Avenue.","50"
"","14","Outbound","*","en","<b>Note:</b> In downtown Portland, board at stops on 2nd Avenue.","50"
"","16","Outbound","Weekday","en","<b>Note:</b> In downtown Portland, board at the stops on 4th Avenue at Ash and Davis","50"
"","17","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>X </b> stops on 4th Avenue.","50"
"","19","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>X</b> stops on 4th Avenue.","50"
"","31","Inbound","Weekday","en","<b>Note:</b> Trips from Estacada do not enter Clackamas Transit Center. Transfers can be made at <b>85th & Monterey</b>.","50"
"","31","Inbound","Saturday","en","<b>Note:</b> Trips from Estacada do not enter Clackamas Transit Center. Transfers can be made at <b>85th & Monterey</b>.","50"
"","31","Outbound","Weekday","en","<b>Note:</b> Trips to Estacada do not enter Clackamas Transit Center. Transfers can be made at <b>85th & Monterey</b>.","50"
"","31","Outbound","Saturday","en","<b>Note:</b> Trips to Estacada do not enter Clackamas Transit Center. Transfers can be made at <b>85th & Monterey</b>.","50"
"","31","Outbound","Weekday","en","<b>Note:</b> In downtown Portland, board at the <b>A</b> stops on 3rd Avenue.","50"
"","32","Outbound","Weekday","en","<b>Note:</b> In downtown Portland, board at the <b>A</b> stops on 3rd Avenue.","50"
"","33","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>A</b> stops on 3rd Avenue.","50"
"","35","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>A</b> stops on 3rd Avenue.","50"
"","36","Outbound","Weekday","en","<b>Note:</b> In downtown Portland, board at the <b>A</b> stops on 3rd Avenue.","50"
"","40","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>S (South-Leaf)</b> stops on 5th Avenue.","50"
"","44","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>C</b> stops on 3rd Avenue.","50"
"","54","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>C</b> stops on 3rd Avenue.","50"
"","56","Outbound","*","en","<b>Note:</b> In downtown Portland, board at the <b>C</b> stops on 3rd Avenue.","44"
"","61","Outbound","Weekday","en","<b>Note:</b> Buses to Beaverton TC serve: All Marquam Hill stops; Capitol Hwy & Sunset; Beaverton Hillsdale Hwy & Oleson Rd; Valley Community Church Park & Ride; 110th at 4220; and Beaverton TC.","50"
"","61","Inbound","Weekday","en","<b>Note:</b> Buses to Marquam Hill serve: Beaverton TC; 110th at 4130; Valley Community Church Park & Ride; Beaverton Hillsdale Hwy & Oleson Rd; Capitol Hwy & Sunset; all Marquam Hill stops.","50"
"","64","Outbound","Weekday","en","<b>Note:</b> Buses to Tigard TC serve: All Marquam Hill stops; Capitol Hwy & Sunset and 26th; Troy & 35th; Capitol Hwy & Taylors Ferry; Barbur TC; Pacific Hwy & 74th; and Tigard TC.","50"
"","64","Inbound","Weekday","en","<b>Note:</b> Buses to Marquam Hill serve: Tigard TC; Pacific Hwy & 74th; Barbur TC; along Capitol Hwy at Taylors Fy, 35th, 26th and Sunset; and all Marquam Hill stops.","50"
"","65","Outbound","Weekday","en","<b>Note:</b> Buses to Barbur serve: All Marquam Hill stops; then all stops along Terwilliger to Barbur Blvd & Bertha; then at Multonmah & 19th; Spring Garden & 19th and 14th; Taylors Ferry & Spring Garden, and Terwilliger & Carson.","50"
"","65","Inbound","Weekday","en","<b>Note:</b> Buses to Marquam Hill serve: Terwilliger & Carson;Taylors Ferry & 7th and 11th; Spring Garden & 14th and 19th; 19th & Multnomah; Barbur & Bertha; all stops along Terwilliger and all Marquam Hill stops.","50"
"","66","Outbound","Weekday","en","<b>Note:</b> Buses to Hollywood TC serve: all Marquam Hill stops; 1st & Arthur; Powell & Milwaukie, 21st and 26th; along 39th Avenue at Powell, Division, Hawthorne, Belmont, Burnside and Glisan; and Hollywood TC.","50"
"","66","Inbound","Weekday","en","<b>Note:</b> Buses to Marquam Hill serve: Hollywood TC; stops along 39th Avenue at Glisan; Burnside, Belmont, Hawthorne, Division and Powell; Powell & 26th, 21st and Milwaukie; 1st & Arthur; and all Marquam Hill stops.","50"
"","67","Inbound","Weekday","en","<b>Note</b> Afternoon trip departs Cornell Oaks (Stop ID 9915) at 4:05 p.m.; arrives at Merlo/SW 158th Ave. MAX Station (Stop ID 10126) at 4:17 p.m.","50"
"","74","Outbound","Weekday","en","<b>Note:</b> Buses to Southeast serve: Rose Quarter TC; NE Multnomah & Grand,7th and 9th; Holladay & 11th; Irving 12th, 15th, 18th and 21st; Glisan & 28th, 32nd and Laddington; SE 39th & Burnside, Belmont, Hawthorne, Division, Powell, Holgate, Steele, Knight; Woodstock & 46th and 52nd & Woodstock.","50"
"","74","Inbound","Weekday","en","<b>Note:</b> Buses to Lloyd District and Rose Quarter TC serve: SE Woodstock & 51st and 46th; 39th & Knight, Steele, Holgate, Powell, Division, Hawthorne, Belmont and Burnside; NE Glisan & Laddington, 32nd, and 28th; Irving & 21st, 18th, 15th and 12th; 11th & Holladay and Multnomah; Multnomah & 9th, 7th and Grand and Rose Quarter TC.","50"
"","79","*","*","en","<b>Note:</b> Service to the South End Rd portion of Line 79 operates a one-way loop. Buses from Oregon City TC travel Hwy 99 then South End Rd.","50"
"","85","Inbound","Weekday","en","<b>Note:</b> Buses make stops only along Basin Avenue; at Anchor & Channel; Albina/Mississippi MAX Station and Rose Quarter TC.","50"
"","90","*","*","en","If you are unable to climb steps and wish to board a low-floor MAX car, wait mid-platform behind the white bumpy strip where you can be seen by the train operator. Ramps are located at the two doors in the center of the low-floor car. If the ramp is not extended by the MAX operator, push the blue button with the accessibility symbol located on either side of the door. The doors have to close before the ramp can deploy.","50"
"","100","*","*","en","If you are unable to climb steps and wish to board a low-floor MAX car, wait mid-platform behind the white bumpy strip where you can be seen by the train operator. Ramps are located at the two doors in the center of the low-floor car. If the ramp is not extended by the MAX operator, push the blue button with the accessibility symbol located on either side of the door. The doors have to close before the ramp can deploy.","60"
"","190","*","*","en","If you are unable to climb steps and wish to board a low-floor MAX car, wait mid-platform behind the white bumpy strip where you can be seen by the train operator. Ramps are located at the two doors in the center of the low-floor car. If the ramp is not extended by the MAX operator, push the blue button with the accessibility symbol located on either side of the door. The doors have to close before the ramp can deploy.","50"
"","90","*","Weekday","en","A Trains arrive at Pioneer Square at 20 & 50 minutes past the hour for connections with buses that leave downtown at 02 & 32 minutes past the hour.","50"
"","92","Outbound","Weekday","en","<b>Note:</b> Buses to Beaverton serve: Stops on SW Columbia at 16th, 12th, 10th, Park, 5th and 1st; Naito & Harrison; then travel express with no stops to Progress Park & Ride at Hwy 217 & Scholls Ferry; then serve all stops to Murrayhill.","50"
"","92","Inbound","Weekday","en","<b>Note:</b> Buses to downtown Portland serve all stops between Murrayhill and Progress Park & Ride at Hwy 217 & Scholls Ferry; then travel express with no stops to SW Naito & Harrison; then serve: Jefferson at 1st, 4th, Broadway, 10th, 13th and 16th.","50"
