"Agency","Route","Direction","Service Key","Language","Stop ID","Stop Name","Sequence"
"","1","Inbound","Weekday",,"9630",,"10"
"","1","Inbound","Saturday",,"9630",,"10"
"","1","Inbound","Sunday",,"9630",,"10"
"","1","Inbound","Weekday",,"6374",,"20"
"","1","Inbound","Saturday",,"6374",,"20"
"","1","Inbound","Sunday",,"6374",,"20"
"","1","Inbound","Weekday",,"2227",,"30"
"","1","Inbound","Saturday",,"2227",,"30"
"","1","Inbound","Sunday",,"2227",,"30"
"","1","Inbound","Weekday",,"11813",,"40"
"","1","Inbound","Saturday",,"11813",,"40"
"","1","Inbound","Sunday",,"11813",,"40"
"","1","Inbound","Sunday",,"7626",,"50"
"","1","Inbound","Weekday",,"7636",,"50"
"","1","Inbound","Saturday",,"7636",,"50"
"","1","Outbound","Weekday",,"7789",,"10"
"","1","Outbound","Saturday",,"7789",,"10"
"","1","Outbound","Sunday",,"7789",,"10"
"","1","Outbound","Weekday",,"11814",,"20"
"","1","Outbound","Saturday",,"11814",,"20"
"","1","Outbound","Sunday",,"11814",,"20"
"","1","Outbound","Weekday",,"2226",,"30"
"","1","Outbound","Saturday",,"2226",,"30"
"","1","Outbound","Sunday",,"2226",,"30"
"","1","Outbound","Weekday",,"10611",,"40"
"","1","Outbound","Saturday",,"10611",,"40"
"","1","Outbound","Sunday",,"10611",,"40"
"","1","Outbound","Weekday",,"9630",,"50"
"","1","Outbound","Saturday",,"9630",,"50"
"","1","Outbound","Sunday",,"9630",,"50"
"","10","Inbound","Weekday",,"9368",,"1"
"","10","Inbound","Saturday",,"9368",,"1"
"","10","Inbound","Sunday",,"9368",,"1"
"","10","Inbound","Weekday",,"8304",,"2"
"","10","Inbound","Saturday",,"8304",,"2"
"","10","Inbound","Sunday",,"8304",,"2"
"","10","Inbound","Weekday",,"7382",,"3"
"","10","Inbound","Saturday",,"7382",,"3"
"","10","Inbound","Sunday",,"7382",,"3"
"","10","Inbound","Weekday",,"7374",,"4"
"","10","Inbound","Saturday",,"7374",,"4"
"","10","Inbound","Sunday",,"7374",,"4"
