Route,Direction,Service Key,Language,Footnote,Sequence
1,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>N (North-Fish)</b> stops on 6th Avenue.",50
4,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>N (North-Fish)</b> stops on 6th Avenue.",50
8,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>NE (Northeast-Raindrop)</b> stops on 6th Avenue.",50
9,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>NE (Northeast-Raindrop)</b> stops on 6th Avenue.",50
10,Outbound,"Weekday, Saturday, Sunday",en,<b>Note:</b> Service to 33 & Sunderland provided by transfer to Sunderland Shuttle bus at 27th & Saratoga,50
10,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>NE (Northeast-Raindrop)</b> stops on 6th Avenue.",50
12,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>SW (Southwest-Rose)</b> stops on 5th Avenue.",50
14,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>SE (Southeast-Beaver)</b> stops on 5th Avenue.",50
16,Outbound,Weekday,en,"<b>Note:</b> In downtown Portland, board at the <b>N (North-Fish)</b> stops on 6th Avenue.",50
17,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>N (North-Fish)</b> stops on 6th Avenue.",50
19,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>NE (Northeast-Raindrop)</b> stops on 6th Avenue.",50
31,Outbound,Weekday,en,"<b>Note:</b> In downtown Portland, board at the <b>S (South-Leaf)</b> stops on 5th Avenue.",50
32,Outbound,Weekday,en,"<b>Note:</b> In downtown Portland, board at the <b>S (South-Leaf)</b> stops on 5th Avenue.",50
33,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>S (South-Leaf)</b> stops on 5th Avenue.",50
35,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>SW (Southwest-Rose)</b> stops on 5th Avenue.",50
35,Outbound,Weekday,en,<b>Note:</b> Service between Oregon City and Canby sponsored by CAT-Canby Area Transit.,50
36,Outbound,Weekday,en,"<b>Note:</b> In downtown Portland, board at the <b>SW (Southwest-Rose)</b> stops on 5th Avenue.",50
38,Outbound,Weekday,en,"<b>Note:</b> In downtown Portland, board at the <b>SW (Southwest-Rose)</b> stops on 5th Avenue.",50
40,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>S (South-Leaf)</b> stops on 5th Avenue.",50
43,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>W (West-Deer)</b> stops on 5th Avenue.",50
44,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>W (West-Deer)</b> stops on 5th Avenue.",50
45,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>W (West-Deer)</b> stops on 5th Avenue.",50
54,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>W (West-Deer)</b> stops on 5th Avenue.",50
55,Outbound,Weekday,en,"<b>Note:</b> In downtown Portland, board at the <b>W (West-Deer)</b> stops on 5th Avenue.",50
56,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>W (West-Deer)</b> stops on 5th Avenue.",50
58,Outbound,"Weekday, Saturday, Sunday",en,"<b>Note:</b> In downtown Portland, board at the <b>W (West-Deer)</b> stops on 5th Avenue.",50
61,Outbound,Weekday,en,<b>Note:</b> Buses to Beaverton TC serve: All Marquam Hill stops; Capitol Hwy & Sunset; Beaverton Hillsdale Hwy & Oleson Rd; Valley Community Church Park & Ride; 110th at 4220; and Beaverton TC.,50
61,Inbound,Weekday,en,<b>Note:</b> Buses to Marquam Hill serve: Beaverton TC; 110th at 4130; Valley Community Church Park & Ride; Beaverton Hillsdale Hwy & Oleson Rd; Capitol Hwy & Sunset; all Marquam Hill stops.,50
64,Outbound,Weekday,en,"<b>Note:</b> Buses to Tigard TC serve: All Marquam Hill stops; Capitol Hwy & Sunset, 26th; Troy & 35th; Capitol Hwy & Taylors Ferry; Barbur TC; Pacific Hwy & 74th; and Tigard TC.",50
64,Inbound,Weekday,en,"<b>Note:</b> Buses to Marquam Hill serve: Tigard TC; Pacific Hwy & 74th; Barbur TC; along Capitol Hwy at Taylors Fy, 35th, 26th & Sunset; and all Marquam Hill stops.",50
65,Outbound,Weekday,en,"<b>Note:</b> Buses to Barbur serve: All Marquam Hill stops; then all stops along Terwilliger to Barbur Blvd & Bertha; then at 19th & Multnomah; Spring Garden & 19th & 14th; Taylors Ferry & Spring Garden, and Terwilliger & Carson. <a href=../alerts/65-marquamhill.htm"">Rider Alert</a>""",50
65,Inbound,Weekday,en,"<b>Note:</b> Buses to Marquam Hill serve: Terwilliger & Carson; 7th and 11th; Spring Garden & 14th and 19th; 19th & Multnomah; Barbur & Bertha; all stops along Terwilliger and all Marquam Hill stops. <a href=../alerts/65-marquamhill.htm"">Rider Alert</a>""",50
