Route,Direction,Service Key,Language,Stop ID,Description,Sequence
1,Inbound,Weekday,en,9630,,10
1,Inbound,Saturday,en,9630,,10
1,Inbound,Sunday,en,9630,,10
1,Inbound,Weekday,en,6374,,20
1,Inbound,Saturday,en,6374,,20
1,Inbound,Sunday,en,6374,,20
1,Inbound,Weekday,en,2227,,30
1,Inbound,Saturday,en,2227,,30
1,Inbound,Sunday,en,2227,,30
1,Inbound,Weekday,en,11813,,40
1,Inbound,Saturday,en,11813,,40
1,Inbound,Sunday,en,11813,,40
1,Inbound,Sunday,en,7626,,50
1,Inbound,Weekday,en,7636,,50
1,Inbound,Saturday,en,7636,,50
1,Outbound,Weekday,en,7789,,10
1,Outbound,Saturday,en,7789,,10
1,Outbound,Sunday,en,7789,,10
1,Outbound,Weekday,en,11814,,20
1,Outbound,Saturday,en,11814,,20
1,Outbound,Sunday,en,11814,,20
1,Outbound,Weekday,en,2226,,30
1,Outbound,Saturday,en,2226,,30
1,Outbound,Sunday,en,2226,,30
1,Outbound,Weekday,en,10611,,40
1,Outbound,Saturday,en,10611,,40
1,Outbound,Sunday,en,10611,,40
1,Outbound,Weekday,en,9630,,50
1,Outbound,Saturday,en,9630,,50
1,Outbound,Sunday,en,9630,,50
10,Inbound,Weekday,en,9368,Columbia River Correctional Facility,1
10,Inbound,Saturday,en,9368,Columbia River Correctional Facility,1
10,Inbound,Sunday,en,9368,Columbia River Correctional Facility,1
10,Inbound,Weekday,en,8304,,2
10,Inbound,Saturday,en,8304,,2
10,Inbound,Sunday,en,8304,,2
10,Inbound,Weekday,en,7382,,3
10,Inbound,Saturday,en,7382,,3
10,Inbound,Sunday,en,7382,,3
10,Inbound,Weekday,en,7374,,4
10,Inbound,Saturday,en,7374,,4
10,Inbound,Sunday,en,7374,,4
10,Inbound,Weekday,en,644,,5
10,Inbound,Saturday,en,644,,5
10,Inbound,Sunday,en,644,,5
10,Inbound,Weekday,en,4044,,6
10,Inbound,Saturday,en,4044,,6
10,Inbound,Sunday,en,4044,,6
10,Inbound,Weekday,en,1098,,7
10,Inbound,Saturday,en,1098,,7
10,Inbound,Sunday,en,1098,,7
10,Inbound,Weekday,en,7627,,8
10,Inbound,Saturday,en,7636,,8
10,Inbound,Sunday,en,7636,,8
10,Outbound,Weekday,en,7800,,2
10,Outbound,Saturday,en,7767,,3
10,Outbound,Sunday,en,7767,,3
10,Outbound,Weekday,en,1097,,5
10,Outbound,Saturday,en,1097,,5
10,Outbound,Sunday,en,1097,,5
10,Outbound,Weekday,en,9305,,6
10,Outbound,Saturday,en,9305,,6
10,Outbound,Sunday,en,9305,,6
10,Outbound,Weekday,en,7392,,7
10,Outbound,Saturday,en,7392,,7
10,Outbound,Sunday,en,7392,,7
10,Outbound,Weekday,en,7373,,8
10,Outbound,Saturday,en,7373,,8
10,Outbound,Sunday,en,7373,,8
10,Outbound,Weekday,en,7383,,9
10,Outbound,Saturday,en,7383,,9
